,County Name,hispanic,his_total,black,black_total,white,white_total,asian,asian_total,State
27510,Roane,780,0.014420143831691039,1462,0.027028526002477307,51361,0.9495294965890814,262,0.004843689338337246,TN
27521,Robertson,3917,0.05892972663948608,5025,0.0755991514841505,59899,0.9011569302983345,358,0.005385969399268832,TN
27532,Rutherford,17679,0.06703192538105711,33594,0.12737544551452187,214723,0.8141465079244711,8254,0.03129597330704482,TN
27543,Scott,115,0.005172956682110566,58,0.0026089694570644597,21926,0.9862804192344025,41,0.0018442715127524629,TN
27554,Sequatchie,423,0.030010642071656615,66,0.004682511528910961,13792,0.978503015253636,46,0.0032635686413621853,TN
27565,Sevier,4796,0.05324629185540457,853,0.00947020161648459,86935,0.9651723065991651,810,0.008992805755395683,TN
27576,Shelby,52427,0.056431977438834054,487441,0.5246773516463408,403881,0.43473407747866055,22041,0.023724745164311164,TN
27587,Smith,416,0.02172664124928187,404,0.021099911213244896,18367,0.9592625476575964,44,0.0022980101321355825,TN
27598,Stewart,240,0.017977528089887642,197,0.014756554307116105,12734,0.9538576779026218,135,0.010112359550561797,TN
27609,Sullivan,2370,0.015115374312792581,3413,0.021767414569435053,150105,0.9573389287855403,926,0.005905838233605878,TN
27620,Sumner,6381,0.03957209302325582,10532,0.06531472868217054,146008,0.905475968992248,1687,0.010462015503875969,TN
27631,Tipton,1329,0.021744821492849897,11543,0.18886416440328546,47960,0.7847115416080369,396,0.006479269609607644,TN
27642,Trousdale,186,0.02363405336721728,727,0.09237611181702668,6926,0.8800508259212199,27,0.0034307496823379924,TN
27653,Unicoi,657,0.03594485173432542,73,0.0039938724149250465,17957,0.9824379034905351,42,0.002297844403107561,TN
27664,Union,217,0.011380323054331865,64,0.003356408642752255,18709,0.9811726452695616,25,0.0013110971260750996,TN
27675,Van,49,0.008828828828828829,54,0.00972972972972973,5418,0.9762162162162162,12,0.002162162162162162,TN
27686,Warren,3220,0.08070377703701848,1280,0.03208100453645455,37751,0.9461640642622622,197,0.004937467104438708,TN
27697,Washington,3675,0.029796169874653392,4969,0.04028766479106196,114478,0.9281648802477744,1488,0.01206440837373721,TN
27708,Wayne,264,0.015524845633637166,992,0.058335783593060866,15793,0.9287268450455748,45,0.0026462805057336078,TN
