,state,county,candidate,party,votes,won,total_votes,percent,State
290,Illinois,Bureau County,Donald Trump,REP,10296,True,17182,0.5992317541613317,IL
291,Illinois,Calhoun County,Donald Trump,REP,2043,True,2767,0.738344777737622,IL
292,Illinois,Carroll County,Donald Trump,REP,5098,True,8006,0.6367724206844866,IL
293,Illinois,Cass County,Donald Trump,REP,3624,True,5325,0.6805633802816902,IL
294,Illinois,Champaign County,Donald Trump,REP,35122,False,94911,0.37005194339960595,IL
295,Illinois,Christian County,Donald Trump,REP,11505,True,16094,0.7148626817447497,IL
296,Illinois,Clark County,Donald Trump,REP,6215,True,8340,0.7452038369304557,IL
297,Illinois,Clay County,Donald Trump,REP,5626,True,6896,0.8158352668213457,IL
298,Illinois,Clinton County,Donald Trump,REP,14264,True,19139,0.7452844976226554,IL
299,Illinois,Coles County,Donald Trump,REP,13981,True,22470,0.6222073876279484,IL
300,Illinois,Cook County,Donald Trump,REP,546789,False,2265552,0.2413491281594949,IL
301,Illinois,Crawford County,Donald Trump,REP,7025,True,9419,0.7458328909650705,IL
302,Illinois,Cumberland County,Donald Trump,REP,4595,True,5843,0.7864110901933938,IL
303,Illinois,DeKalb County,Donald Trump,REP,21818,False,47717,0.4572374625395561,IL
304,Illinois,De Witt County,Donald Trump,REP,5623,True,7994,0.7034025519139354,IL
305,Illinois,Douglas County,Donald Trump,REP,6221,True,8746,0.7112965927281043,IL
306,Illinois,DuPage County,Donald Trump,REP,193611,False,485064,0.399145267428628,IL
307,Illinois,Edgar County,Donald Trump,REP,6169,True,8152,0.7567468105986261,IL
308,Illinois,Edwards County,Donald Trump,REP,2833,True,3368,0.8411520190023754,IL
309,Illinois,Effingham County,Donald Trump,REP,14983,True,19041,0.7868809411270417,IL
310,Illinois,Fayette County,Donald Trump,REP,8025,True,10033,0.7998604604804146,IL
311,Illinois,Ford County,Donald Trump,REP,4956,True,6809,0.7278601850491996,IL
312,Illinois,Franklin County,Donald Trump,REP,13514,True,18488,0.7309606231068801,IL
313,Illinois,Fulton County,Donald Trump,REP,9798,True,16517,0.59320699884967,IL
314,Illinois,Gallatin County,Donald Trump,REP,2019,True,2673,0.755331088664422,IL
315,Illinois,Greene County,Donald Trump,REP,4767,True,6224,0.7659061696658098,IL
316,Illinois,Grundy County,Donald Trump,REP,16372,True,26400,0.6201515151515151,IL
317,Illinois,Hamilton County,Donald Trump,REP,3429,True,4316,0.7944856348470807,IL
318,Illinois,Hancock County,Donald Trump,REP,5309,True,6565,0.8086824067022087,IL
319,Illinois,Henderson County,Donald Trump,REP,2391,True,3652,0.654709748083242,IL
320,Illinois,Henry County,Donald Trump,REP,15266,True,25624,0.5957695910084296,IL
321,Illinois,Iroquois County,Donald Trump,REP,10858,True,14011,0.7749625294411534,IL
322,Illinois,Jackson County,Donald Trump,REP,10835,False,22575,0.47995570321151715,IL
323,Illinois,Jasper County,Donald Trump,REP,4492,True,5582,0.8047294876388391,IL
324,Illinois,Jefferson County,Donald Trump,REP,12461,True,17409,0.7157791946694239,IL
325,Illinois,Jersey County,Donald Trump,REP,8699,True,11942,0.7284374476637079,IL
326,Illinois,Jo Daviess County,Donald Trump,REP,7161,True,12477,0.5739360423178649,IL
327,Illinois,Johnson County,Donald Trump,REP,5052,True,6442,0.7842285004656939,IL
328,Illinois,Kane County,Donald Trump,REP,96775,False,231876,0.4173566906449999,IL
