Areaname,LND110210D
"Highlands, FL",1016.62
"Hillsborough, FL",1020.21
"Holmes, FL",478.78
"Indian River, FL",502.87
"Jackson, FL",917.76
"Jefferson, FL",598.1
"Lafayette, FL",543.41
"Lake, FL",938.38
"Lee, FL",784.51
"Leon, FL",666.85
"Levy, FL",1118.21
"Liberty, FL",835.56
"Madison, FL",695.95
"Manatee, FL",742.93
"Marion, FL",1584.55
"Martin, FL",543.46
"Miami-Dade, FL",1897.72
"Monroe, FL",983.28
"Nassau, FL",648.64
"Okaloosa, FL",930.25
"Okeechobee, FL",768.91
"Orange, FL",903.43
"Osceola, FL",1327.45
"Palm Beach, FL",1969.76
"Pasco, FL",746.89
"Pinellas, FL",273.8
"Polk, FL",1797.84
"Putnam, FL",727.62
"St. Johns, FL",600.66
"St. Lucie, FL",571.93
"Santa Rosa, FL",1011.61
"Sarasota, FL",555.87
"Seminole, FL",309.22
"Sumter, FL",546.93
"Suwannee, FL",688.55
"Taylor, FL",1043.31
"Union, FL",243.56
"Volusia, FL",1101.03
"Wakulla, FL",606.42
"Walton, FL",1037.63
"Washington, FL",582.8
GEORGIA,57513.49
"Appling, GA",507.08
"Atkinson, GA",339.38
"Bacon, GA",258.58
"Baker, GA",341.94
"Baldwin, GA",257.84
"Banks, GA",232.09
"Barrow, GA",160.31
"Bartow, GA",459.54
"Ben Hill, GA",250.12
"Berrien, GA",451.9
"Bibb, GA",249.76
"Bleckley, GA",215.87
"Brantley, GA",442.36
"Brooks, GA",493.05
"Bryan, GA",435.97
"Bulloch, GA",672.81
"Burke, GA",826.97
"Butts, GA",184.39
"Calhoun, GA",280.37
"Camden, GA",613.03
"Candler, GA",243.04
"Carroll, GA",499.08
"Catoosa, GA",162.16
"Charlton, GA",773.58
"Chatham, GA",426.44
"Chattahoochee, GA",248.74
"Chattooga, GA",313.34
"Cherokee, GA",421.67
"Clarke, GA",119.2
"Clay, GA",195.38
"Clayton, GA",141.57
"Clinch, GA",800.22
"Cobb, GA",339.55
"Coffee, GA",575.1
"Colquitt, GA",544.15
"Columbia, GA",290.09
"Cook, GA",227.16
"Coweta, GA",440.89
"Crawford, GA",324.89
"Crisp, GA",272.58
"Dade, GA",173.98
"Dawson, GA",210.83
"Decatur, GA",597.14
"DeKalb, GA",267.58
"Dodge, GA",495.89
"Dooly, GA",391.94
"Dougherty, GA",328.69
"Douglas, GA",200.07
"Early, GA",512.59
"Echols, GA",414.89
"Effingham, GA",477.7
"Elbert, GA",351.06
"Emanuel, GA",680.6
"Evans, GA",182.85
"Fannin, GA",386.72
"Fayette, GA",194.34
"Floyd, GA",509.91
"Forsyth, GA",224.02
"Franklin, GA",261.5
"Fulton, GA",526.64
"Gilmer, GA",426.54
"Glascock, GA",143.74
"Glynn, GA",419.75
"Gordon, GA",355.81
"Grady, GA",454.53
"Greene, GA",387.44
"Gwinnett, GA",430.38
"Habersham, GA",276.74
"Hall, GA",392.78
"Hancock, GA",471.84
"Haralson, GA",282.17
"Harris, GA",463.87
"Hart, GA",232.39
